"","Name","Age","Boarded","Position","Lifeboat","Body","Sex","Class","Group","Survived","ID","Adult"
"1","Mr. George Swane",19,"S","chauffeur",NA,"294MB","m",2,"1classServ",FALSE,1,TRUE
"2","Miss Amelia Mary ""Mildred"" Brown",18,"S","cook","11",NA,"f",2,"1classServ",TRUE,2,TRUE
"3","Miss Sarah Daniels",33,"S","maid","8",NA,"f",1,"1classServ",TRUE,3,TRUE
"4","Miss Alice Catherine Cleaver",22,"S","nurse","11",NA,"f",1,"1classServ",TRUE,4,TRUE
"5","Miss Rosalie Bidois",46,"C","maid","4",NA,"f",1,"1classServ",TRUE,5,TRUE
"6","Miss Caroline Louise Endres",39,"C","nurse","4",NA,"f",1,"1classServ",TRUE,6,TRUE
"7","Miss Emma Sägesser",25,"C","maid","9",NA,"f",1,"1classServ",TRUE,7,TRUE
"8","Miss Albina Bazzani",36,"C","maid","8",NA,"f",1,"1classServ",TRUE,8,TRUE
"9","Miss Annie Moore Ward",38,"C","maid","3",NA,"f",1,"1classServ",TRUE,9,TRUE
"10","Mr. Gustave J. Lesueur",35,"C","valet","3",NA,"m",1,"1classServ",TRUE,10,TRUE
"11","Mr. Alexander Cairns",28,"S","valet",NA,NA,"m",1,"1classServ",FALSE,11,TRUE
"12","Mr. Charles Augustus Aldworth",30,"S","chauffeur",NA,NA,"m",2,"1classServ",FALSE,12,TRUE
"13","Miss Auguste Serreplan",30,"S","maid","4",NA,"f",1,"1classServ",TRUE,13,TRUE
"14","Miss Ellen ""Nellie"" Barber",26,"S","maid","6",NA,"f",1,"1classServ",TRUE,14,TRUE
"15","Miss Berthe Leroy",27,"C","maid","3",NA,"f",1,"1classServ",TRUE,15,TRUE
"16","Miss Laura Mabel Francatelli",31,"C","secretary","1",NA,"f",1,"1classServ",TRUE,16,TRUE
"17","Miss Elizabeth Weed Shutes",40,"S","governess","3",NA,"f",1,"1classServ",TRUE,17,TRUE
"18","Mr. Victor Giglio",24,"C","valet",NA,NA,"m",1,"1classServ",FALSE,18,TRUE
"19","Mr. René Pernot",39,"C","chauffeur",NA,NA,"m",2,"1classServ",FALSE,19,TRUE
"20","Mr. Hammad Hassab",27,"C","dragoman","3",NA,"m",1,"1classServ",TRUE,20,TRUE
"21","Mr. Vivian Ponsonby Payne",22,"S","clerk",NA,NA,"m",1,"1classServ",FALSE,21,TRUE
"22","Miss Mary Anne Perreault",33,"S","maid","3",NA,"f",1,"1classServ",TRUE,22,TRUE
"23","Mr. John Richard Fry",39,"S","valet",NA,NA,"m",1,"1classServ",FALSE,23,TRUE
"24","Mr. William Henry Harrison",45,"S","secretary",NA,"110MB","m",1,"1classServ",FALSE,24,TRUE
"25","Miss Roberta Elizabeth Mary ""Cissy"" Maioni",20,"S","maid","8",NA,"f",1,"1classServ",TRUE,25,TRUE
"26","Mr. Charles Henry Harrington",37,"S","valet",NA,NA,"m",1,"1classServ",FALSE,26,TRUE
"27","Doña Fermina Oliva y Ocana",39,"C","maid","8",NA,"f",1,"1classServ",TRUE,27,TRUE
"28","Miss Emilie Kreuchen",29,"S","maid","2",NA,"f",1,"1classServ",TRUE,28,TRUE
"29","Miss Victorine Chaudanson",36,"C","maid","4",NA,"f",1,"1classServ",TRUE,29,TRUE
"30","Miss Grace Scott Bowen",45,"C","governess","4",NA,"f",1,"1classServ",TRUE,30,TRUE
"31","Miss Helen Alice Wilson",31,"C","maid","3",NA,"f",1,"1classServ",TRUE,31,TRUE
"32","Miss Elizabeth Margaret Burns",41,"C","nurse","3",NA,"f",1,"1classServ",TRUE,32,TRUE
"33","Miss Eugenie Elise Lurette",59,"C","maid","6",NA,"f",1,"1classServ",TRUE,33,TRUE
"34","Miss Amelie ""Amelia"" Icard",38,"S","maid","6",NA,"f",1,"1classServ",TRUE,34,TRUE
"35","Mr. John Farthing",57,"S","valet",NA,NA,"m",1,"1classServ",FALSE,35,TRUE
